,date,count,normalized
131,2022-04-20,34,0.2068
130,2022-04-21,41,0.2555
129,2022-04-22,31,0.1835
128,2022-04-23,10,0.1183
127,2022-04-24,11,0.2198
126,2022-04-25,41,0.1675
125,2022-04-26,45,0.249
124,2022-04-27,45,0.156
123,2022-04-28,31,0.2557
122,2022-04-29,42,0.1024
121,2022-04-30,4,-0.0425
120,2022-05-01,16,0.1033
119,2022-05-02,28,0.24
118,2022-05-03,30,0.0706
117,2022-05-04,35,0.2
116,2022-05-05,42,0.2663
115,2022-05-06,39,-0.0172
114,2022-05-07,9,0.0151
113,2022-05-08,10,0.0083
112,2022-05-09,42,-0.0549
111,2022-05-10,24,-0.045
110,2022-05-11,28,0.1866
109,2022-05-12,41,-0.0346
108,2022-05-13,41,-0.0103
107,2022-05-14,18,-0.0022
106,2022-05-15,6,-0.0045
105,2022-05-16,34,0.1898
104,2022-05-17,26,0.1901
103,2022-05-18,23,0.0469
102,2022-05-19,29,0.1373
101,2022-05-20,19,0.0096
100,2022-05-21,5,-0.033
99,2022-05-22,2,0.0045
98,2022-05-23,38,0.2858
97,2022-05-24,23,0.0309
96,2022-05-25,17,-0.0269
95,2022-05-26,28,-0.003
94,2022-05-27,18,-0.0498
93,2022-05-28,8,-0.0115
92,2022-05-29,12,0.3397
91,2022-05-30,19,0.0883
90,2022-05-31,24,0.2646
89,2022-06-01,25,0.2955
88,2022-06-02,21,0.0989
87,2022-06-03,24,0.1926
86,2022-06-04,7,-0.0714
85,2022-06-05,2,-0.148
84,2022-06-06,21,0.1756
83,2022-06-07,34,0.1313
82,2022-06-08,24,0.1686
81,2022-06-09,29,0.1018
80,2022-06-10,29,0.1431
79,2022-06-11,3,0.2647
78,2022-06-12,4,-0.1553
77,2022-06-13,45,-0.1595
76,2022-06-14,42,0.0976
75,2022-06-15,43,0.1669
74,2022-06-16,38,0.1864
73,2022-06-17,20,-0.0571
72,2022-06-18,14,-0.1664
71,2022-06-20,30,-0.0274
70,2022-06-21,31,-0.0493
69,2022-06-22,36,0.1008
68,2022-06-23,36,0.0238
67,2022-06-24,25,0.2126
66,2022-06-25,7,0.139
65,2022-06-27,14,0.1996
64,2022-06-28,31,0.2054
63,2022-06-29,36,0.0463
62,2022-06-30,31,-0.0821
61,2022-07-01,51,-0.0116
60,2022-07-02,10,-0.0165
59,2022-07-03,7,0.0234
58,2022-07-04,18,0.1287
57,2022-07-05,29,-0.0378
56,2022-07-06,28,0.0115
55,2022-07-07,27,0.1248
54,2022-07-08,52,0.1206
53,2022-07-09,1,-0.026
52,2022-07-10,2,-0.077
51,2022-07-11,21,0.1072
50,2022-07-12,35,-0.0369
49,2022-07-13,26,0.2194
48,2022-07-14,37,0.1552
47,2022-07-15,25,0.2765
46,2022-07-16,7,0.1204
45,2022-07-17,2,-0.159
44,2022-07-18,21,0.3059
43,2022-07-19,33,0.0068
42,2022-07-20,26,0.1579
41,2022-07-21,31,0.1252
40,2022-07-22,27,0.0026
39,2022-07-23,5,0.2406
38,2022-07-25,22,0.2959
37,2022-07-26,21,0.1328
36,2022-07-27,26,-0.0311
35,2022-07-28,20,0.12
34,2022-07-29,29,0.0938
33,2022-07-30,8,0.2461
32,2022-07-31,10,0.1758
31,2022-08-01,14,0.0514
30,2022-08-02,22,0.0446
29,2022-08-03,33,0.0419
28,2022-08-04,33,0.0345
27,2022-08-05,29,0.0863
26,2022-08-06,3,0.412
25,2022-08-07,5,0.1372
24,2022-08-08,28,0.1893
23,2022-08-09,24,0.1627
22,2022-08-10,25,0.2315
21,2022-08-11,31,0.1731
20,2022-08-12,26,0.0923
19,2022-08-13,9,0.1059
18,2022-08-14,12,0.1327
17,2022-08-15,30,0.029
16,2022-08-16,37,0.1041
15,2022-08-17,48,0.1817
14,2022-08-18,30,0.1483
13,2022-08-19,33,-0.0012
12,2022-08-20,9,0.0172
11,2022-08-21,6,0.2338
10,2022-08-22,32,-0.0293
9,2022-08-23,37,0.1381
8,2022-08-24,25,0.1735
7,2022-08-25,31,0.2489
6,2022-08-26,23,0.1138
5,2022-08-27,5,0.276
4,2022-08-28,13,-0.0475
3,2022-08-29,36,0.106
2,2022-08-30,27,0.1208
1,2022-08-31,23,0.0317
0,2022-09-01,25,0.1886
